,gold_label,sentence1,sentence2
0,neutral,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.
1,neutral,A couple walk hand in hand down a street.,The couple is married.
2,neutral,A man reads the paper in a bar with green lighting.,The man is reading the sportspage.
3,neutral,Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.
4,neutral,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is selling coconuts.
5,neutral,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.
6,neutral,A woman wearing a ball cap squats down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig
7,neutral,A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow
8,neutral,A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.
9,neutral,A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd is calling for help for the people on the roof.
10,neutral,A woman working long hours.,A woman is working in a factory.
11,neutral,An old woman watches a man look down at some balls on the ground.,An elderly female is stalking a male.
12,neutral,"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging after surviving a horrible car wreck.
13,neutral,A guy riding a motorcycle near junk cars,The man is test driving a motorcycle to decide whether or not he will buy it.
14,neutral,"Women of India performing with blue streamers, in beautiful blue costumes.",indian women are performing a religious ritual together
15,neutral,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer almost drowned after being sucked under a fast current.
16,neutral,The man in the black wetsuit is walking out of the water.,A man in a wetsuit walks out of the water carrying a surfboard.
17,neutral,A woman is painting a mural of a woman's face.,There is a woman painting for fun.
18,neutral,A couple is eating outside at a table and he is pointing at something.,The man is pointing at a purse snatcher.
19,neutral,Two women walk down a sidewalk along a busy street in a downtown area.,The women were walking downtown because the buses were on strike
20,neutral,A man of the cloth puts a black substance on a man's forehead.,The men are at church.
21,neutral,A man and woman are taking a picture of themselves while a woman in a scarf walks by them.,A man and woman take selfies while a woman walks by and judges them.
22,neutral,a group of people dancing together.,They are doing the tango.
23,neutral,Men wearing blue uniforms sit on a bus.,"Men sit on the bus going to work,"
24,neutral,Two men climbing on a wooden scaffold.,Two sad men climbing on a wooden scaffold.
25,neutral,This child is on the library steps.,The child is on the steps inside the library.
26,neutral,The tattooed basketball player is about to dunk the ball.,The player has a tattoo that says mother.
27,neutral,a boy in a red hooded top is smiling whilst looking away from his reflection.,The boy doesn't want to see his reflection.
28,neutral,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.,The man is cold.
29,neutral,Several younger people sitting in front of a statue.,several young people sitting in a school courtyard
30,neutral,A goofy looking woman is singing on stage.,A blonde woman is singing and dancing on the stage.
31,neutral,The girl wearing a brown jacket whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.
32,neutral,people are standing near water with a boat heading their direction,People are standing near water with a large blue boat heading their direction.
33,neutral,Four adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.
34,neutral,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman riding a bike to work.
35,neutral,"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is enjoying a sporting event.
36,neutral,A girl holding a beverage points at a painting.,The girl is drinking an alcoholic beverage.
37,neutral,A person in a red shirt is mowing the grass with a green riding mower.,A person in red is moving grass on a John Deer motor.
38,neutral,A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.,The woman is a model.
39,neutral,A softball player throws the ball to her teammate.,Teammates are competing in a softballs championship.
40,neutral,These are young adults who seem to be working together to protect the plants surrounding the white pole.,The plants are ferns
41,neutral,A man playing billiards at a bar.,A man is playing with friends.
42,neutral,A boy is riding down the road between two cows.,A boy rides a horse by two cows.
43,neutral,"There are five singers on a stage, three women and two men.",The people performing are part of a chorus.
44,neutral,Two men are standing in a boat.,A few men are fishing on a boat.
45,neutral,The sun breaks through the trees as a child rides a swing.,The child on the swing is a girl.
46,neutral,A man in an apron smiles as he pokes a frying donut with a little metal stick.,The man is in the kitchen of a restaurant.
47,neutral,A woman in tennis clothes running to hit a ball with her tennis racket.,Serina Williams plays tennis.
