,sentence1,sentence2,gold_label_log_numeric,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes
0,Some teenagers criticize Guy.,Not all teenagers criticize Guy.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
1,Not all teenagers criticize Guy.,Some teenagers criticize Guy.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
2,Some teenagers criticize Guy.,All teenagers criticize Guy.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
3,All teenagers criticize Guy.,Some teenagers criticize Guy.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
4,Not all teenagers criticize Guy.,No teenagers criticize Guy.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
5,No teenagers criticize Guy.,Not all teenagers criticize Guy.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
6,All teenagers criticize Guy.,No teenagers criticize Guy.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
7,No teenagers criticize Guy.,All teenagers criticize Guy.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
8,Some teenagers criticize Guy.,No teenagers criticize Guy.,-1,contradiction,contradiction,negation,control,quantifier,some - all
9,No teenagers criticize Guy.,Some teenagers criticize Guy.,-1,contradiction,contradiction,negation,control,quantifier,some - all
10,All teenagers criticize Guy.,Not all teenagers criticize Guy.,-1,contradiction,contradiction,negation,control,quantifier,some - all
11,Not all teenagers criticize Guy.,All teenagers criticize Guy.,-1,contradiction,contradiction,negation,control,quantifier,some - all
12,Some companies command universities to chat.,Not all companies command universities to chat.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
13,Not all companies command universities to chat.,Some companies command universities to chat.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
14,Some companies command universities to chat.,All companies command universities to chat.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
15,All companies command universities to chat.,Some companies command universities to chat.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
16,Not all companies command universities to chat.,No companies command universities to chat.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
17,No companies command universities to chat.,Not all companies command universities to chat.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
18,All companies command universities to chat.,No companies command universities to chat.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
19,No companies command universities to chat.,All companies command universities to chat.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
20,Some companies command universities to chat.,No companies command universities to chat.,-1,contradiction,contradiction,negation,control,quantifier,some - all
21,No companies command universities to chat.,Some companies command universities to chat.,-1,contradiction,contradiction,negation,control,quantifier,some - all
22,All companies command universities to chat.,Not all companies command universities to chat.,-1,contradiction,contradiction,negation,control,quantifier,some - all
23,Not all companies command universities to chat.,All companies command universities to chat.,-1,contradiction,contradiction,negation,control,quantifier,some - all
24,Some cashiers exercise.,Not all cashiers exercise.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
25,Not all cashiers exercise.,Some cashiers exercise.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
26,Some cashiers exercise.,All cashiers exercise.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
27,All cashiers exercise.,Some cashiers exercise.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
28,Not all cashiers exercise.,No cashiers exercise.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
29,No cashiers exercise.,Not all cashiers exercise.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
30,All cashiers exercise.,No cashiers exercise.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
31,No cashiers exercise.,All cashiers exercise.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
32,Some cashiers exercise.,No cashiers exercise.,-1,contradiction,contradiction,negation,control,quantifier,some - all
33,No cashiers exercise.,Some cashiers exercise.,-1,contradiction,contradiction,negation,control,quantifier,some - all
34,All cashiers exercise.,Not all cashiers exercise.,-1,contradiction,contradiction,negation,control,quantifier,some - all
35,Not all cashiers exercise.,All cashiers exercise.,-1,contradiction,contradiction,negation,control,quantifier,some - all
36,A lot of guys had hired some teachers.,A lot of guys hadn't hired all teachers.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
37,A lot of guys hadn't hired all teachers.,A lot of guys had hired some teachers.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
38,A lot of guys had hired some teachers.,A lot of guys had hired all teachers.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
39,A lot of guys had hired all teachers.,A lot of guys had hired some teachers.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
40,A lot of guys hadn't hired all teachers.,A lot of guys had hired no teachers.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
41,A lot of guys had hired no teachers.,A lot of guys hadn't hired all teachers.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
42,A lot of guys had hired all teachers.,A lot of guys had hired no teachers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
43,A lot of guys had hired no teachers.,A lot of guys had hired all teachers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
44,A lot of guys had hired some teachers.,A lot of guys had hired no teachers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
45,A lot of guys had hired no teachers.,A lot of guys had hired some teachers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
46,A lot of guys had hired all teachers.,A lot of guys hadn't hired all teachers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
47,A lot of guys hadn't hired all teachers.,A lot of guys had hired all teachers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
48,Some men criticized Travis.,Not all men criticized Travis.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
49,Not all men criticized Travis.,Some men criticized Travis.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
50,Some men criticized Travis.,All men criticized Travis.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
51,All men criticized Travis.,Some men criticized Travis.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
52,Not all men criticized Travis.,No men criticized Travis.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
53,No men criticized Travis.,Not all men criticized Travis.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
54,All men criticized Travis.,No men criticized Travis.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
55,No men criticized Travis.,All men criticized Travis.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
56,Some men criticized Travis.,No men criticized Travis.,-1,contradiction,contradiction,negation,control,quantifier,some - all
57,No men criticized Travis.,Some men criticized Travis.,-1,contradiction,contradiction,negation,control,quantifier,some - all
58,All men criticized Travis.,Not all men criticized Travis.,-1,contradiction,contradiction,negation,control,quantifier,some - all
59,Not all men criticized Travis.,All men criticized Travis.,-1,contradiction,contradiction,negation,control,quantifier,some - all
60,Many customers go to some hills.,Many customers don't go to all hills.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
61,Many customers don't go to all hills.,Many customers go to some hills.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
62,Many customers go to some hills.,Many customers go to all hills.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
63,Many customers go to all hills.,Many customers go to some hills.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
64,Many customers don't go to all hills.,Many customers go to no hills.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
65,Many customers go to no hills.,Many customers don't go to all hills.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
66,Many customers go to all hills.,Many customers go to no hills.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
67,Many customers go to no hills.,Many customers go to all hills.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
68,Many customers go to some hills.,Many customers go to no hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
69,Many customers go to no hills.,Many customers go to some hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
70,Many customers go to all hills.,Many customers don't go to all hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
71,Many customers don't go to all hills.,Many customers go to all hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
72,A dog is ascending some hills.,A dog isn't ascending all hills.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
73,A dog isn't ascending all hills.,A dog is ascending some hills.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
74,A dog is ascending some hills.,A dog is ascending all hills.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
75,A dog is ascending all hills.,A dog is ascending some hills.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
76,A dog isn't ascending all hills.,A dog is ascending no hills.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
77,A dog is ascending no hills.,A dog isn't ascending all hills.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
78,A dog is ascending all hills.,A dog is ascending no hills.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
79,A dog is ascending no hills.,A dog is ascending all hills.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
80,A dog is ascending some hills.,A dog is ascending no hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
81,A dog is ascending no hills.,A dog is ascending some hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
82,A dog is ascending all hills.,A dog isn't ascending all hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
83,A dog isn't ascending all hills.,A dog is ascending all hills.,-1,contradiction,contradiction,negation,control,quantifier,some - all
84,Most actors wear some glasses.,Most actors don't wear all glasses.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
85,Most actors don't wear all glasses.,Most actors wear some glasses.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
86,Most actors wear some glasses.,Most actors wear all glasses.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
87,Most actors wear all glasses.,Most actors wear some glasses.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
88,Most actors don't wear all glasses.,Most actors wear no glasses.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
89,Most actors wear no glasses.,Most actors don't wear all glasses.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
90,Most actors wear all glasses.,Most actors wear no glasses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
91,Most actors wear no glasses.,Most actors wear all glasses.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
92,Most actors wear some glasses.,Most actors wear no glasses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
93,Most actors wear no glasses.,Most actors wear some glasses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
94,Most actors wear all glasses.,Most actors don't wear all glasses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
95,Most actors don't wear all glasses.,Most actors wear all glasses.,-1,contradiction,contradiction,negation,control,quantifier,some - all
96,Some actresses write.,Not all actresses write.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
97,Not all actresses write.,Some actresses write.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
98,Some actresses write.,All actresses write.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
99,All actresses write.,Some actresses write.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
100,Not all actresses write.,No actresses write.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
101,No actresses write.,Not all actresses write.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
102,All actresses write.,No actresses write.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
103,No actresses write.,All actresses write.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
104,Some actresses write.,No actresses write.,-1,contradiction,contradiction,negation,control,quantifier,some - all
105,No actresses write.,Some actresses write.,-1,contradiction,contradiction,negation,control,quantifier,some - all
106,All actresses write.,Not all actresses write.,-1,contradiction,contradiction,negation,control,quantifier,some - all
107,Not all actresses write.,All actresses write.,-1,contradiction,contradiction,negation,control,quantifier,some - all
108,Some doctors had disagreed.,Not all doctors had disagreed.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
109,Not all doctors had disagreed.,Some doctors had disagreed.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
110,Some doctors had disagreed.,All doctors had disagreed.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
111,All doctors had disagreed.,Some doctors had disagreed.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
112,Not all doctors had disagreed.,No doctors had disagreed.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
113,No doctors had disagreed.,Not all doctors had disagreed.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
114,All doctors had disagreed.,No doctors had disagreed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
115,No doctors had disagreed.,All doctors had disagreed.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
116,Some doctors had disagreed.,No doctors had disagreed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
117,No doctors had disagreed.,Some doctors had disagreed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
118,All doctors had disagreed.,Not all doctors had disagreed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
119,Not all doctors had disagreed.,All doctors had disagreed.,-1,contradiction,contradiction,negation,control,quantifier,some - all
120,Some actresses did react.,Not all actresses did react.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
121,Not all actresses did react.,Some actresses did react.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
122,Some actresses did react.,All actresses did react.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
123,All actresses did react.,Some actresses did react.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
124,Not all actresses did react.,No actresses did react.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
125,No actresses did react.,Not all actresses did react.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
126,All actresses did react.,No actresses did react.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
127,No actresses did react.,All actresses did react.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
128,Some actresses did react.,No actresses did react.,-1,contradiction,contradiction,negation,control,quantifier,some - all
129,No actresses did react.,Some actresses did react.,-1,contradiction,contradiction,negation,control,quantifier,some - all
130,All actresses did react.,Not all actresses did react.,-1,contradiction,contradiction,negation,control,quantifier,some - all
131,Not all actresses did react.,All actresses did react.,-1,contradiction,contradiction,negation,control,quantifier,some - all
132,Some boys play.,Not all boys play.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
133,Not all boys play.,Some boys play.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
134,Some boys play.,All boys play.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
135,All boys play.,Some boys play.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
136,Not all boys play.,No boys play.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
137,No boys play.,Not all boys play.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
138,All boys play.,No boys play.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
139,No boys play.,All boys play.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
140,Some boys play.,No boys play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
141,No boys play.,Some boys play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
142,All boys play.,Not all boys play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
143,Not all boys play.,All boys play.,-1,contradiction,contradiction,negation,control,quantifier,some - all
144,The teacher resembles some sketches.,The teacher doesn't resemble all sketches.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
145,The teacher doesn't resemble all sketches.,The teacher resembles some sketches.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
146,The teacher resembles some sketches.,The teacher resembles all sketches.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
147,The teacher resembles all sketches.,The teacher resembles some sketches.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
148,The teacher doesn't resemble all sketches.,The teacher resembles no sketches.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
149,The teacher resembles no sketches.,The teacher doesn't resemble all sketches.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
150,The teacher resembles all sketches.,The teacher resembles no sketches.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
151,The teacher resembles no sketches.,The teacher resembles all sketches.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
152,The teacher resembles some sketches.,The teacher resembles no sketches.,-1,contradiction,contradiction,negation,control,quantifier,some - all
153,The teacher resembles no sketches.,The teacher resembles some sketches.,-1,contradiction,contradiction,negation,control,quantifier,some - all
154,The teacher resembles all sketches.,The teacher doesn't resemble all sketches.,-1,contradiction,contradiction,negation,control,quantifier,some - all
155,The teacher doesn't resemble all sketches.,The teacher resembles all sketches.,-1,contradiction,contradiction,negation,control,quantifier,some - all
156,This dancer would hire some customers.,This dancer wouldn't hire all customers.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
157,This dancer wouldn't hire all customers.,This dancer would hire some customers.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
158,This dancer would hire some customers.,This dancer would hire all customers.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
159,This dancer would hire all customers.,This dancer would hire some customers.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
160,This dancer wouldn't hire all customers.,This dancer would hire no customers.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
161,This dancer would hire no customers.,This dancer wouldn't hire all customers.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
162,This dancer would hire all customers.,This dancer would hire no customers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
163,This dancer would hire no customers.,This dancer would hire all customers.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
164,This dancer would hire some customers.,This dancer would hire no customers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
